in;out
попробуй обследовать останец, обозревай его;Местоимение: его. Объект: останец
подвергни анализу ближайшее сломанное дерево, дефилируй до него;Местоимение: него. Объект: сломанного дерева
разыщи близлежащее поваленное дерево, рассмотри его;Местоимение: его. Объект: поваленное дерево
начни анализировать ближнюю яму и прохаживай к ней;Местоимение: ней. Объект: яме
отыщи женщину, соверши поворот к ней;Местоимение: ней. Объект: женщине
наступай в ту сторону, к булыге, обставь её;Местоимение: её. Объект: булыгу
обставь куда смотрю, к разрыву, повернись к нему;Местоимение: нему. Объект: разрыву
начни обскакивать в это место, до останца и анализируй его;Местоимение: его. Объект: останец
попробуй анализировать недалекий дуб, выйди до него;Местоимение: него. Объект: дуба
обследуй разлом, что располагается рядом с поваленным деревом, которое находится неподалеку от пьяного человека, повернись к нему;Местоимение: нему. Объект: разлому
начинай поворачивать к недалёкому железному коню и обходи его;Местоимение: его. Объект: железного коня
подвергни анализу преграду, рассматривай её;Местоимение: её. Объект: преграду
опереди булыжник, что сзади от дерева и соверши поворот до него;Местоимение: него. Объект: булыжника
оставь позади валун слева от расщелины, осмотри его;Местоимение: его. Объект: валун
обходи ближний холмик и рассматривай его;Местоимение: его. Объект: холмик
попробуй исследовать лампу, которая рядом с домиком, который находится рядом с рощей и обозревай её;Местоимение: её. Объект: лампу
начинай обследовать срубленное дерево левее тебя, обходи его;Местоимение: его. Объект: срубленное дерево
соверши поворот до недалёкого оврага, выступай к нему;Местоимение: нему. Объект: оврагу
разглядывай в эту сторону, к срубленному дереву, анализируй его;Местоимение: его. Объект: срубленное дерево
пытайся заворчивать к горке сзади и шарь до неё;Местоимение: неё. Объект: горки
поворачивай до лежащего человека, что перед лесом и подвергни анализу его;Местоимение: его. Объект: лежащего человека
отыщи близкий фонарь, соверши поворот до него;Местоимение: него. Объект: фонаря
повернись к близлежащему пригорку, обскочи его;Местоимение: его. Объект: пригорок
пытайся разглядывать лежащего человека, который находится справа от сваленного дерева и соверши поворот к нему;Местоимение: нему. Объект: лежащему человеку
обходи загородку, что располагается неподалеку от останца, который правее холма и осмотри её;Местоимение: её. Объект: загородку
отыщи свалившегося человека сзади себя и объезжай его;Местоимение: его. Объект: свалившегося человека
повернись к разрыву, что находится перед загородкой, обскочи его;Местоимение: его. Объект: разрыв
опереди расщелину позади тебя, заворчивай к ней;Местоимение: ней. Объект: расщелине
начинай гулять к трещине, подвергни анализу её;Местоимение: её. Объект: трещину
перекинься к той загородке и сделай поворот до неё;Местоимение: неё. Объект: загородки
начинай разглядывать сваленное дерево, располагающееся сзади от лампы, находящуюся слева от дамы и поворачивай к нему;Местоимение: нему. Объект: сваленному дереву
повернись до ближней рощи и осмотри её;Местоимение: её. Объект: рощу
исследуй строение и подвигайся к нему;Местоимение: нему. Объект: строению
поворачивай до чащи, что находится рядом с мужчиной и обходи её;Местоимение: её. Объект: чащу
рассмотри недалекий домик и тронься к нему;Местоимение: нему. Объект: домику
оставь позади булыгу и сматывайся до неё;Местоимение: неё. Объект: булыги
попробуй заворчивать к товарищу около избы, обозревай его;Местоимение: его. Объект: товарища
пытайся осматривать пьяного человека, который неподалеку от коттеджа, находящийся правее разрыва, опережай его;Местоимение: его. Объект: пьяного человека
соверши поворот до препятствия за автомобилем, что неподалеку от разрыва и рассмотри его;Местоимение: его. Объект: препятствие
обозревай свалившегося человека, располагающегося справа от впадины и оставь позади его;Местоимение: его. Объект: свалившегося человека
заворчивай к дому, который располагается левее разрыва, который перед возвышенностью, анализируй его;Местоимение: его. Объект: дом
обнаружь ближайшую впадину, отбеги к ней;Местоимение: ней. Объект: впадине
осмотри ближний булыжник, оставь позади его;Местоимение: его. Объект: булыжник
обставь загородку правее себя и заворчивай до неё;Местоимение: неё. Объект: загородки
причаль до камушка, оставь позади его;Местоимение: его. Объект: камушек
пытайся анализировать столб, который рядом с особняком, который располагается перед разрывом и осмотри его;Местоимение: его. Объект: столб
попробуй анализировать ольху и поторапливайся до неё;Местоимение: неё. Объект: ольхи
опережай горку, что располагается за расщелиной, располагающуюся правее преграды, чаль к ней;Местоимение: ней. Объект: горке
начинай заворчивать к разлому, подвергни анализу его;Местоимение: его. Объект: разлом
попробуй обозревать свет правее и исследуй его;Местоимение: его. Объект: свет
сделай поворот до фонаря, находящегося левее возвышенности и давай до него;Местоимение: него. Объект: фонаря
найди гору, которая находится спереди от дома, что располагается перед камушком и подвергни анализу её;Местоимение: её. Объект: гору
осуществи перемещение до данного леса, соверши поворот до него;Местоимение: него. Объект: леса
попробуй опережать ближнего железного коня и сделай поворот до него;Местоимение: него. Объект: железного коня
броссься к ближнему свалившемуся человеку, осмотри его;Местоимение: его. Объект: свалившегося человека
начни шаркать к булыжнику и сделай поворот до него;Местоимение: него. Объект: булыжника
попробуй рассматривать близлежащего человека, заворчивай до него;Местоимение: него. Объект: человека
исследуй трещину, которая неподалеку от здания, объезжай её;Местоимение: её. Объект: трещину
кинься до машины, которая находится сзади от сломанного дерева спереди от домика, подвергни анализу её;Местоимение: её. Объект: машину
сделай поворот к близлежащему авто, обозревай его;Местоимение: его. Объект: авто
причаль до близкого свалившегося человека, рассматривай его;Местоимение: его. Объект: свалившегося человека
трусь до загородки около спиленного дерева и обследуй её;Местоимение: её. Объект: загородку
найди булыжник позади сосны, находящуюся слева от разрыва и исследуй его;Местоимение: его. Объект: булыжник
сделай поворот туда, к трещине и продвигайся к ней;Местоимение: ней. Объект: трещине
начинай обскакивать поваленное дерево, что находится справа от здания, которое находится слева от человека и осмотри его;Местоимение: его. Объект: поваленное дерево
кинься до сосны, находящейся около валуна, который справа от коттеджа, повернись к ней;Местоимение: ней. Объект: сосне
начинай объезжать холмик, соверши поворот к нему;Местоимение: нему. Объект: холмику
выдвигайся к наблюдаемому авто и рассматривай его;Местоимение: его. Объект: авто
подвергни анализу недалёкую возвышенность, соверши поворот до неё;Местоимение: неё. Объект: возвышенности
разглядывай сюда, до строения, исследуй его;Местоимение: его. Объект: строение
выметайся к валуну левее и разглядывай его;Местоимение: его. Объект: валун
подвергни анализу лес и обходи его;Местоимение: его. Объект: лес
опережай домик левее, соверши поворот до него;Местоимение: него. Объект: домика
рассматривай ближний барьер, обставь его;Местоимение: его. Объект: барьер
начинай анализировать железного коня слева от себя и трусь до него;Местоимение: него. Объект: железного коня
обследуй близкий фонарь и разглядывай его;Местоимение: его. Объект: фонарь
отыщи светильник, который находится рядом с останцем и повернись к нему;Местоимение: нему. Объект: светильнику
осматривай данную сосну, опереди её;Местоимение: её. Объект: сосну
обскочи растение и поворачивай к нему;Местоимение: нему. Объект: растению
соверши поворот до канавы, находящейся рядом с ребёнком, что располагается правее загородки и осматривай её;Местоимение: её. Объект: канаву
повернись в эту сторону, к трещине и анализируй её;Местоимение: её. Объект: трещину
попробуй опережать свалившегося человека за собой, подвергни анализу его;Местоимение: его. Объект: свалившегося человека
начинай опережать валун, который располагается правее ограждения, располагающееся за тачкой, исследуй его;Местоимение: его. Объект: валун
пытайся рассматривать человека справа от тебя, повернись к нему;Местоимение: нему. Объект: человеку
обскакивай этот разрыв, подвергни анализу его;Местоимение: его. Объект: разрыв
соверши поворот к упавшему человеку, который находится левее лампы, что спереди от рощи, обставь его;Местоимение: его. Объект: упавшего человека
попробуй поворачивать до того поваленного дерева и обставь его;Местоимение: его. Объект: поваленное дерево
сделай поворот до того упавшего дерева, тяни до него;Местоимение: него. Объект: упавшего дерева
анализируй авто, заворчивай к нему;Местоимение: нему. Объект: авто
пытайся анализировать разрыв, который находится справа от дуба, что находится около останца и обскакивай его;Местоимение: его. Объект: разрыв
попробуй осматривать яму, что спереди от возвышенности и сделай поворот к ней;Местоимение: ней. Объект: яме
опереди спиленное дерево слева от коттеджа и поворачивай к нему;Местоимение: нему. Объект: спиленному дереву
повернись к сломанному дереву впереди и уносись до него;Местоимение: него. Объект: сломанного дерева
объезжай избу, что располагается за лампой и сделай поворот к ней;Местоимение: ней. Объект: избе
смойся до лесополосы и поворачивай до неё;Местоимение: неё. Объект: лесополосы
соверши поворот к камушку спереди и ползи к нему;Местоимение: нему. Объект: камушку
вкатывайся до горки и анализируй её;Местоимение: её. Объект: горку
повернись до ямы, которая левее светильника и осмотри её;Местоимение: её. Объект: яму
повернись к лампе, располагающейся спереди от булыги и шагай до неё;Местоимение: неё. Объект: лампы
повернись до пригорка и опереди его;Местоимение: его. Объект: пригорок
осматривай даму, которая располагается перед тачкой, располагающуюся за ограждением и подвигайся к ней;Местоимение: ней. Объект: даме
пытайся подыматься к железному коню, который находится справа от дубравы, анализируй его;Местоимение: его. Объект: железного коня
отгреби в том направлении, до булыги и сделай поворот до неё;Местоимение: неё. Объект: булыги
анализируй валун, что располагается левее ограждения позади лесополосы, рассмотри его;Местоимение: его. Объект: валун
пытайся разглядывать куда смотрю, к валуну, обходи его;Местоимение: его. Объект: валун
разглядывай близкую впадину и сделай поворот до неё;Местоимение: неё. Объект: впадины
разглядывай строение слева от себя и сделай поворот к нему;Местоимение: нему. Объект: строению
прилети к данному авто и поворачивай к нему;Местоимение: нему. Объект: авто
начинай разглядывать дерево, располагающееся правее человека, что рядом с железным конём и оставь позади его;Местоимение: его. Объект: дерево
найди фонарь, что спереди от сосны, которая располагается правее упавшего человека, анализируй его;Местоимение: его. Объект: фонарь
осуществи перемещение к свету, что около здания, обходи его;Местоимение: его. Объект: свет
начинай опережать наблюдаемый автомобиль, поезжай до него;Местоимение: него. Объект: автомобиля
начни анализировать останец и повернись до него;Местоимение: него. Объект: останца
перебегать до ближайшей ямы, объезжай её;Местоимение: её. Объект: яму
осмотри дом правее тебя, перебегать до него;Местоимение: него. Объект: дома
пытайся осматривать тот валун и сделай поворот к нему;Местоимение: нему. Объект: валуну
начни объезжать железного коня, который слева от валуна, который находится спереди от дерева, анализируй его;Местоимение: его. Объект: железного коня
причаль до сваленного дерева, которое справа от избы, что за холмиком и сделай поворот к нему;Местоимение: нему. Объект: сваленному дереву
повернись к барьеру и разглядывай его;Местоимение: его. Объект: барьер
рассматривай этот домик, обскочи его;Местоимение: его. Объект: домик
рассмотри в том направлении, до постройки и заворчивай до неё;Местоимение: неё. Объект: постройки
начни обследовать рытвину перед тобой, объезжай её;Местоимение: её. Объект: рытвину
сделай поворот к особняку, который рядом с разломом и анализируй его;Местоимение: его. Объект: особняк
выходи туда, к камушку и обскакивай его;Местоимение: его. Объект: камушек
обставь лампу, что располагается рядом с постройкой, исследуй её;Местоимение: её. Объект: лампу
начни поворачивать до того ребёнка, исследуй его;Местоимение: его. Объект: ребёнка
начни обозревать в ту сторону, до валуна и повернись до него;Местоимение: него. Объект: валуна
начинай обскакивать останец перед тобой, анализируй его;Местоимение: его. Объект: останец
обходи канаву, находящуюся справа от валуна и выступай к ней;Местоимение: ней. Объект: канаве
повернись куда смотрю, к лесополосе, рассматривай её;Местоимение: её. Объект: лесополосу
опереди в это место, до авто, обозревай его;Местоимение: его. Объект: авто
обскочи упавшее дерево слева от тебя, рассматривай его;Местоимение: его. Объект: упавшее дерево
обнаружь машину, разглядывай её;Местоимение: её. Объект: машину
начинай обследовать ближнее срубленное дерево, осматривай его;Местоимение: его. Объект: срубленное дерево
повернись к машине, что располагается правее товарища, обследуй её;Местоимение: её. Объект: машину
осматривай ближнее упавшее дерево и приходи до него;Местоимение: него. Объект: упавшего дерева
броди до камушка, находящегося около фонаря, который находится перед лежащим человеком и осматривай его;Местоимение: его. Объект: камушек
попробуй обследовать овраг, обставь его;Местоимение: его. Объект: овраг
пытайся собираться к пропасти, что слева от упавшего дерева, что располагается рядом с валуном и разглядывай её;Местоимение: её. Объект: пропасть
зайди к товарищу, что располагается за сломанным деревом, исследуй его;Местоимение: его. Объект: товарища
пытайся пролетать до останца справа от тебя и рассмотри его;Местоимение: его. Объект: останец
разыщи близкого упавшего человека, исследуй его;Местоимение: его. Объект: упавшего человека
соверши поворот к этому сваленному дереву и обозревай его;Местоимение: его. Объект: сваленное дерево
начни опережать куда смотрю, к тачке и осмотри её;Местоимение: её. Объект: тачку
разыщи рытвину, что находится за берёзой и поворачивай к ней;Местоимение: ней. Объект: рытвине
обскакивай чащу правее себя, подвергни анализу её;Местоимение: её. Объект: чащу
попробуй рассматривать дом, который располагается справа от разрыва, располагающийся сзади от лампы и исследуй его;Местоимение: его. Объект: дом
сделай поворот до наблюдаемой булыги, обозревай её;Местоимение: её. Объект: булыгу
рассмотри булыжник, находящийся правее света, что находится справа от расщелины и повернись до него;Местоимение: него. Объект: булыжника
дуй к данному валуну, обскакивай его;Местоимение: его. Объект: валун
исследуй срубленное дерево спереди тебя и соверши поворот к нему;Местоимение: нему. Объект: срубленному дереву
осматривай фонарь и потеряйся до него;Местоимение: него. Объект: фонаря
пытайся поворачивать к трещине, что перед сваленным деревом, что располагается правее столба и рассматривай её;Местоимение: её. Объект: трещину
опереди овраг, который спереди от камня и зайди к нему;Местоимение: нему. Объект: оврагу
разглядывай наблюдаемого железного коня, поддай до него;Местоимение: него. Объект: железного коня
отыщи близкий валун, обскочи его;Местоимение: его. Объект: валун
соверши поворот к тому свалившемуся человеку и осуществи перемещение к нему;Местоимение: нему. Объект: свалившемуся человеку
откатись до наблюдаемой трещины, обозревай её;Местоимение: её. Объект: трещину
пытайся анализировать близлежащую дубраву и отвали до неё;Местоимение: неё. Объект: дубравы
пытайся осматривать валун, располагающийся справа от светильника, исследуй его;Местоимение: его. Объект: валун
попробуй переходить до дерева, которое располагается перед коттеджем, рассмотри его;Местоимение: его. Объект: дерево
осматривай загородку, которая справа от камня, исследуй её;Местоимение: её. Объект: загородку
подвергни анализу канаву и рассмотри её;Местоимение: её. Объект: канаву
разыщи светильник за тобой и обходи его;Местоимение: его. Объект: светильник
соверши поворот до лесополосы спереди тебя и осматривай её;Местоимение: её. Объект: лесополосу
найди барьер, что располагается спереди от валуна, находящийся правее провала и осмотри его;Местоимение: его. Объект: барьер
рассмотри в этом направлении, до авто и плетись до него;Местоимение: него. Объект: авто
повернись до рытвины и перекинься до неё;Местоимение: неё. Объект: рытвины
хромай к тому валуну и повернись к нему;Местоимение: нему. Объект: валуну
осматривай того ребёнка и опережай его;Местоимение: его. Объект: ребёнка
начинай исследовать пропасть и направляйся до неё;Местоимение: неё. Объект: пропасти
поддай до близкой горки и оставь позади её;Местоимение: её. Объект: горку
выдвигайся до ближайшей загородки и разглядывай её;Местоимение: её. Объект: загородку
пытайся торопиться к свалившемуся человеку за собой, сделай поворот к нему;Местоимение: нему. Объект: свалившемуся человеку
обскочи провал, располагающийся справа от женщины и исследуй его;Местоимение: его. Объект: провал
рассмотри близлежащее препятствие и объезжай его;Местоимение: его. Объект: препятствие
осмотри железного коня, подходи до него;Местоимение: него. Объект: железного коня
подвергни анализу лес и обозревай его;Местоимение: его. Объект: лес
подвергни анализу берёзу, опережай её;Местоимение: её. Объект: берёзу
пытайся обскакивать тачку, что располагается справа от загородки, что перед лесополосой и спеши к ней;Местоимение: ней. Объект: тачке
пытайся заворчивать к машине правее, пошел к ней;Местоимение: ней. Объект: машине
соверши телепортацию к ближайшему валуну и разглядывай его;Местоимение: его. Объект: валун
попробуй обскакивать здание справа, рассматривай его;Местоимение: его. Объект: здание
оставь позади разлом, который находится около поваленного дерева, располагающееся неподалеку от холма, поворачивай к нему;Местоимение: нему. Объект: разлому
сделай поворот к разрыву, который правее берёзы, которая находится рядом с лесом и анализируй его;Местоимение: его. Объект: разрыв
повернись до женщины, исследуй её;Местоимение: её. Объект: женщину
пробеги куда смотрю, до ребёнка, осматривай его;Местоимение: его. Объект: ребёнка
повернись к валуну за собой и пройди до него;Местоимение: него. Объект: валуна
обследуй рытвину справа и направляй шаги до неё;Местоимение: неё. Объект: рытвины
попробуй ковылять к срубленному дереву, которое располагается перед разрывом, рассмотри его;Местоимение: его. Объект: срубленное дерево
переходи к сваленному дереву, располагающемуся правее останца и повернись к нему;Местоимение: нему. Объект: сваленному дереву
начни поворачивать до ближайшего авто и анализируй его;Местоимение: его. Объект: авто
попробуй перебрасываться до близкого леса, оставь позади его;Местоимение: его. Объект: лес
вкатывайся к берёзе, которая располагается сзади от расщелины, подвергни анализу её;Местоимение: её. Объект: берёзу
опереди поваленное дерево справа от себя, повернись к нему;Местоимение: нему. Объект: поваленному дереву
рассмотри срубленное дерево позади тебя и выходи к нему;Местоимение: нему. Объект: срубленному дереву
попробуй переть до камня, что располагается сзади от возвышенности и опереди его;Местоимение: его. Объект: камень
соверши поворот до лесополосы, что находится слева от железного коня, находящегося рядом с валуном, обследуй её;Местоимение: её. Объект: лесополосу
пытайся исследовать валун рядом с ребёнком, что сзади от разрыва и обходи его;Местоимение: его. Объект: валун
заворчивай к дубу за тобой, анализируй его;Местоимение: его. Объект: дуб
повернись к упавшему дереву правее тебя, исследуй его;Местоимение: его. Объект: упавшее дерево
исследуй возвышенность позади и сходи к ней;Местоимение: ней. Объект: возвышенности
попробуй влачиться до останца, который слева от поваленного дерева и осматривай его;Местоимение: его. Объект: останец
прилети до останца справа от тебя и обходи его;Местоимение: его. Объект: останец
заворчивай до канавы сзади, исследуй её;Местоимение: её. Объект: канаву
начни заворчивать до женщины, что находится за авто и исследуй её;Местоимение: её. Объект: женщину
попробуй обследовать свалившегося человека, что находится спереди от барьера, что располагается сзади от холма, повернись до него;Местоимение: него. Объект: свалившегося человека
повернись к товарищу, который находится около камня, что за барьером, обскакивай его;Местоимение: его. Объект: товарища
начни заворчивать до упавшего дерева справа, анализируй его;Местоимение: его. Объект: упавшее дерево
скатывайся до близкого дерева и опережай его;Местоимение: его. Объект: дерево
разглядывай ольху, которая рядом с пропастью, которая находится перед булыжником, заворчивай к ней;Местоимение: ней. Объект: ольхе
начни осматривать то спиленное дерево, опережай его;Местоимение: его. Объект: спиленное дерево
обскакивай ближний разрыв, рассмотри его;Местоимение: его. Объект: разрыв
броди к трещине, располагающейся за зданием, сделай поворот к ней;Местоимение: ней. Объект: трещине
попробуй выбрасываться куда смотрю, до света и обскочи его;Местоимение: его. Объект: свет
объезжай сосну, что располагается за булыжником, который располагается за дубравой и разглядывай её;Местоимение: её. Объект: сосну
зайди к расщелине, располагающейся позади мужчины, что рядом с автомобилем, осмотри её;Местоимение: её. Объект: расщелину
пытайся поторапливаться до лесополосы слева и опережай её;Местоимение: её. Объект: лесополосу
найди ближний свет и сделай поворот до него;Местоимение: него. Объект: света
начни колобродить до преграды и подвергни анализу её;Местоимение: её. Объект: преграду
отбеги к близкому товарищу, исследуй его;Местоимение: его. Объект: товарища
осмотри наблюдаемый дом, беги к нему;Местоимение: нему. Объект: дому
поднемись к свету, что находится перед машиной, располагающейся левее кучи и анализируй его;Местоимение: его. Объект: свет
вышагивай до упавшего дерева и повернись к нему;Местоимение: нему. Объект: упавшему дереву
начинай скатываться к ребёнку и анализируй его;Местоимение: его. Объект: ребёнка
попробуй обследовать валун и шлёпай до него;Местоимение: него. Объект: валуна
оставь позади столб, который располагается сзади от канавы, которая находится слева от сломанного дерева, рассмотри его;Местоимение: его. Объект: столб
разыщи лесополосу, что располагается за валуном, поворачивай до неё;Местоимение: неё. Объект: лесополосы
начни торопиться до ближайшего булыжника и обследуй его;Местоимение: его. Объект: булыжник
скатывайся к наблюдаемому домику, обскакивай его;Местоимение: его. Объект: домик
начни исследовать близкий валун и рассматривай его;Местоимение: его. Объект: валун
сдвинься к куче, что располагается рядом с домиком, что слева от дубравы, обскочи её;Местоимение: её. Объект: кучу
рассмотри валун, что располагается левее упавшего дерева и шкандыбай к нему;Местоимение: нему. Объект: валуну
обходи тачку и соверши поворот до неё;Местоимение: неё. Объект: тачки
отыщи булыжник и опереди его;Местоимение: его. Объект: булыжник
сделай поворот к рытвине, что располагается позади препятствия, осмотри её;Местоимение: её. Объект: рытвину
разыщи близлежащего пьяного человека и толкайся до него;Местоимение: него. Объект: пьяного человека
заворчивай к булыжнику, который спереди от ямы, обследуй его;Местоимение: его. Объект: булыжник
найди загородку за собой и исследуй её;Местоимение: её. Объект: загородку
сделай поворот до барьера, двигай до него;Местоимение: него. Объект: барьера
пытайся давать до рощи, сделай поворот к ней;Местоимение: ней. Объект: роще
отыщи холмик, обходи его;Местоимение: его. Объект: холмик
поворачивай куда смотрю, до растения и рассматривай его;Местоимение: его. Объект: растение
плыви к недалёкой трещине и сделай поворот к ней;Местоимение: ней. Объект: трещине
попробуй езжать до трещины правее и обставь её;Местоимение: её. Объект: трещину
попробуй опережать дом за тобой, обозревай его;Местоимение: его. Объект: дом
прогуляйся к роще левее тебя и поворачивай к ней;Местоимение: ней. Объект: роще
подвергни анализу валун спереди тебя и заворчивай к нему;Местоимение: нему. Объект: валуну
объезжай препятствие и подвергни анализу его;Местоимение: его. Объект: препятствие
начинай поворачивать до женщины впереди и разглядывай её;Местоимение: её. Объект: женщину
соверши телепортацию сюда, к лежащему человеку и анализируй его;Местоимение: его. Объект: лежащего человека
начни исследовать пьяного человека и повернись к нему;Местоимение: нему. Объект: пьяному человеку
исследуй разрыв, что располагается перед камушком левее срубленного дерева, обходи его;Местоимение: его. Объект: разрыв
опережай лесополосу, которая располагается левее лежащего человека и рассмотри её;Местоимение: её. Объект: лесополосу
